generation ,engine,start_of_production,powertrain_architecture,body_type,seats,doors,acceleration_0-100km/h,maximum_speed,weight-to-power_ratio,weight-to-torque_ratio,power,power_per_litre,torque,engine_layout,engine_displacement,number_of_cylinders,engine_configuration,fuel_tank_capacity,length,width,height,drive_wheel,number_of_gears_and_type_of_gearbox,fuel_consumption_combined,end_of_production
911 Dakar (992),3.0 (480 Hp) AWD PDK ,2022,Internal Combustion engine ,"Off-road vehicle, Coupe ",2,2,3.4,240,"3.3 kg/Hp, 299.1 Hp/tonne ","2.8 kg/Nm, 355.1 Nm/tonne ",480 Hp @ 6500 rpm. ,161,570 Nm @ 2300-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,67,4530,1864,1338,All wheel drive (4x4) ,"8 gears, automatic transmission PDK ",,
911 Targa (992),4S 3.0 (450 Hp) PDK ,2020,Internal Combustion engine ,Targa ,4,2,3.8,304,"3.7 kg/Hp, 268.7 Hp/tonne ","3.2 kg/Nm, 316.4 Nm/tonne ",450 Hp @ 6500 rpm. ,151,530 Nm @ 2300-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,67,4519,1852,1299,All wheel drive (4x4) ,"8 gears, automatic transmission PDK ",9.9,
911 Targa (992),4S 3.0 (450 Hp) ,2020,Internal Combustion engine ,Targa ,4,2,4.4,304,"3.6 kg/Hp, 274.4 Hp/tonne ","3.1 kg/Nm, 323.2 Nm/tonne ",450 Hp @ 6500 rpm. ,151,530 Nm @ 2300-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,67,4519,1852,1301,All wheel drive (4x4) ,"7 gears, manual transmission ",10.3,
911 Targa (992),4 GTS 3.0 (480 Hp) PDK ,2021,Internal Combustion engine ,Targa ,4,2,3.5,307,"3.5 kg/Hp, 284.9 Hp/tonne ","3 kg/Nm, 338.3 Nm/tonne ",480 Hp @ 6500 rpm. ,161,570 Nm @ 2300-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,67,4533,1852,1299,All wheel drive (4x4) ,"8 gears, automatic transmission PDK ",,
911 Targa (992),4 GTS 3.0 (480 Hp) ,2021,Internal Combustion engine ,Targa ,4,2,4.3,307,"3.4 kg/Hp, 290.9 Hp/tonne ","2.9 kg/Nm, 345.5 Nm/tonne ",480 Hp @ 6500 rpm. ,161,570 Nm @ 2300-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,67,4533,1852,1301,All wheel drive (4x4) ,"7 gears, manual transmission ",,
911 Targa (992),4 3.0 (385 Hp) PDK ,2020,Internal Combustion engine ,Targa ,4,2,4.4,289,"4.3 kg/Hp, 231.2 Hp/tonne ","3.7 kg/Nm, 270.3 Nm/tonne ",385 Hp @ 6500 rpm. ,129.2,450 Nm @ 1950-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,67,4519,1852,1297,All wheel drive (4x4) ,"8 gears, automatic transmission PDK ",9.8,
911 Speedster (991 II),4.0 (510 Hp) ,2019,Internal Combustion engine ,Roadster ,2,2,4,310,"2.9 kg/Hp, 348.1 Hp/tonne ","3.1 kg/Nm, 320.8 Nm/tonne ",510 Hp @ 8400 rpm. ,127.6,470 Nm @ 6250 rpm.,"Rear, Longitudinal ",3996,6,Boxer ,64,4562,1852,1250,Rear wheel drive ,"6 gears, manual transmission ",13.8,
911 Cabriolet (992),Turbo S 3.8 (650 Hp) PDK ,2020,Internal Combustion engine ,Cabriolet ,4,2,2.8,330,"2.6 kg/Hp, 380.1 Hp/tonne ","2.1 kg/Nm, 467.8 Nm/tonne ",650 Hp @ 6750 rpm. ,173.6,800 Nm @ 2500-4000 rpm.,"Rear, Longitudinal ",3745,6,Boxer ,67,4535,1900,1301,All wheel drive (4x4) ,"8 gears, automatic transmission PDK ",,
911 Cabriolet (992),Turbo 3.8 (580 Hp) PDK ,2020,Internal Combustion engine ,Cabriolet ,4,2,2.9,320,"2.9 kg/Hp, 339.2 Hp/tonne ","2.3 kg/Nm, 438.6 Nm/tonne ",580 Hp @ 6500 rpm. ,154.9,750 Nm @ 2250-4500 rpm.,"Rear, Longitudinal ",3745,6,Boxer ,67,4535,1900,1302,All wheel drive (4x4) ,"8 gears, automatic transmission PDK ",,
911 Cabriolet (992),Carrera GTS 3.0 (480 Hp) PDK ,2021,Internal Combustion engine ,Cabriolet ,4,2,3.6,309,"3.4 kg/Hp, 297.2 Hp/tonne ","2.8 kg/Nm, 352.9 Nm/tonne ",480 Hp @ 6500 rpm. ,161,570 Nm @ 2300-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,64,4533,1852,1300,Rear wheel drive ,"8 gears, automatic transmission PDK ",,
911 Cabriolet (992),Carrera GTS 3.0 (480 Hp) ,2021,Internal Combustion engine ,Cabriolet ,4,2,4.3,309,"3.3 kg/Hp, 303.8 Hp/tonne ","2.8 kg/Nm, 360.8 Nm/tonne ",480 Hp @ 6500 rpm. ,161,570 Nm @ 2300-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,64,4533,1852,1302,Rear wheel drive ,"7 gears, manual transmission ",,
911 Cabriolet (992),Carrera 4 GTS 3.0 (480 Hp) PDK ,2021,Internal Combustion engine ,Cabriolet ,4,2,3.5,307,"3.5 kg/Hp, 288.3 Hp/tonne ","2.9 kg/Nm, 342.3 Nm/tonne ",480 Hp @ 6500 rpm. ,161,570 Nm @ 2300-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,67,4533,1852,1300,All wheel drive (4x4) ,"8 gears, automatic transmission PDK ",,
911 Cabriolet (992),Carrera 4 GTS 3.0 (480 Hp) ,2021,Internal Combustion engine ,Cabriolet ,4,2,4.3,307,"3.4 kg/Hp, 294.5 Hp/tonne ","2.9 kg/Nm, 349.7 Nm/tonne ",480 Hp @ 6500 rpm. ,161,570 Nm @ 2300-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,67,4533,1852,1302,All wheel drive (4x4) ,"7 gears, manual transmission ",,
911 Cabriolet (992),Carrera S 3.0 (450 Hp) PDK ,2019,Internal Combustion engine ,Cabriolet ,4,2,3.7,306,"3.5 kg/Hp, 283.9 Hp/tonne ","3 kg/Nm, 334.4 Nm/tonne ",450 Hp @ 6500 rpm. ,151,530 Nm @ 2300-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,64,4519,1852,1299,Rear wheel drive ,"8 gears, automatic transmission PDK ",9.1,
911 Cabriolet (992),Carrera 4S 3.0 (450 Hp) PDK ,2019,Internal Combustion engine ,Cabriolet ,4,2,3.6,304,"3.6 kg/Hp, 275.2 Hp/tonne ","3.1 kg/Nm, 324.2 Nm/tonne ",450 Hp @ 6500 rpm. ,151,530 Nm @ 2300-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,67,4519,1852,1299,All wheel drive (4x4) ,"8 gears, automatic transmission PDK ",9,
911 Cabriolet (992),Carrera 4 3.0 (385 Hp) PDK ,2019,Internal Combustion engine ,Cabriolet ,4,2,4.4,289,"4.2 kg/Hp, 236.9 Hp/tonne ","3.6 kg/Nm, 276.9 Nm/tonne ",385 Hp @ 6500 rpm. ,129.2,450 Nm @ 1950-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,67,4519,1852,1297,All wheel drive (4x4) ,"8 gears, automatic transmission PDK ",9.2,
911 Cabriolet (992),Carrera 3.0 (385 Hp) PDK ,2019,Internal Combustion engine ,Cabriolet ,4,2,4.4,291,"4.1 kg/Hp, 244.4 Hp/tonne ","3.5 kg/Nm, 285.7 Nm/tonne ",385 Hp @ 6500 rpm. ,129.2,450 Nm @ 1950-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,64,4519,1852,1297,Rear wheel drive ,"8 gears, automatic transmission PDK ",9.2,
911 (992),Turbo S 3.8 (650 Hp) PDK ,2020,Internal Combustion engine ,Coupe ,4,2,2.7,330,"2.5 kg/Hp, 396.3 Hp/tonne ","2.1 kg/Nm, 487.8 Nm/tonne ",650 Hp @ 6750 rpm. ,173.6,800 Nm @ 2500-4000 rpm.,"Rear, Longitudinal ",3745,6,Boxer ,67,4535,1900,1303,All wheel drive (4x4) ,"8 gears, automatic transmission PDK ",,
911 (992),Turbo 3.8 (580 Hp) PDK ,2020,Internal Combustion engine ,Coupe ,4,2,2.8,320,"2.8 kg/Hp, 353.7 Hp/tonne ","2.2 kg/Nm, 457.3 Nm/tonne ",580 Hp @ 6500 rpm. ,154.9,750 Nm @ 2250-4500 rpm.,"Rear, Longitudinal ",3745,6,Boxer ,67,4535,1900,1303,All wheel drive (4x4) ,"8 gears, automatic transmission PDK ",,
911 (992),Sport Classic 3.7 (550 Hp) ,2022,Internal Combustion engine ,Coupe ,4,2,4.1,315,"2.9 kg/Hp, 350.3 Hp/tonne ","2.6 kg/Nm, 382.2 Nm/tonne ",550 Hp @ 6750 rpm. ,146.9,600 Nm @ 2000-6000 rpm.,"Rear, Longitudinal ",3745,6,Boxer ,67,4535,1900,1299,Rear wheel drive ,"7 gears, manual transmission ",,
911 (992),S/T 4.0 (525 Hp) ,2023,Internal Combustion engine ,Coupe ,2,2,3.7,300,"2.6 kg/Hp, 380.4 Hp/tonne ","3 kg/Nm, 337 Nm/tonne ",525 Hp @ 8500 rpm. ,131.4,465 Nm @ 6300 rpm.,"Rear, Longitudinal ",3996,6,Boxer ,64,4573,1852,1279,Rear wheel drive ,"6 gears, manual transmission ",,
911 (992),GT3 RS 4.0 (525 Hp) PDK ,2022,Internal Combustion engine ,Coupe ,2,2,3.2,296,"2.8 kg/Hp, 362.1 Hp/tonne ","3.1 kg/Nm, 320.7 Nm/tonne ",525 Hp @ 8500 rpm. ,131.4,465 Nm @ 6300 rpm.,"Rear, Longitudinal ",3996,6,Boxer ,64,4572,1900,1322,Rear wheel drive ,"7 gears, automatic transmission PDK ",,
911 (992),GT3 4.0 (510 Hp) PDK ,2021,Internal Combustion engine ,Coupe ,2,2,3.4,318,"2.8 kg/Hp, 355.4 Hp/tonne ","3.1 kg/Nm, 327.5 Nm/tonne ",510 Hp @ 8400 rpm. ,127.6,470 Nm @ 6100 rpm.,"Rear, Longitudinal ",3996,6,Boxer ,64,4573,1852,1279,Rear wheel drive ,"7 gears, automatic transmission PDK ",,
911 (992),GT3 4.0 (510 Hp) ,2021,Internal Combustion engine ,Coupe ,2,2,3.9,320,"2.8 kg/Hp, 359.7 Hp/tonne ","3 kg/Nm, 331.5 Nm/tonne ",510 Hp @ 8400 rpm. ,127.6,470 Nm @ 6100 rpm.,"Rear, Longitudinal ",3996,6,Boxer ,64,4573,1852,1279,Rear wheel drive ,"6 gears, manual transmission ",,
911 (992),Carrera GTS 3.0 (480 Hp) PDK ,2021,Internal Combustion engine ,Coupe ,4,2,3.4,311,"3.2 kg/Hp, 310.7 Hp/tonne ","2.7 kg/Nm, 368.9 Nm/tonne ",480 Hp @ 6500 rpm. ,161,570 Nm @ 2300-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,64,4533,1852,1301,Rear wheel drive ,"8 gears, automatic transmission PDK ",,
911 (992),Carrera GTS 3.0 (480 Hp) ,2021,Internal Combustion engine ,Coupe ,4,2,4.1,311,"3.1 kg/Hp, 317.9 Hp/tonne ","2.6 kg/Nm, 377.5 Nm/tonne ",480 Hp @ 6500 rpm. ,161,570 Nm @ 2300-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,64,4533,1852,1303,Rear wheel drive ,"7 gears, manual transmission ",,
911 (992),Carrera 4 GTS 3.0 (480 Hp) PDK ,2021,Internal Combustion engine ,Coupe ,4,2,3.3,309,"3.3 kg/Hp, 300.9 Hp/tonne ","2.8 kg/Nm, 357.4 Nm/tonne ",480 Hp @ 6500 rpm. ,161,570 Nm @ 2300-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,67,4533,1852,1301,All wheel drive (4x4) ,"8 gears, automatic transmission PDK ",,
911 (992),Carrera 4 GTS 3.0 (480 Hp) ,2021,Internal Combustion engine ,Coupe ,4,2,4.1,309,"3.3 kg/Hp, 307.7 Hp/tonne ","2.7 kg/Nm, 365.4 Nm/tonne ",480 Hp @ 6500 rpm. ,161,570 Nm @ 2300-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,67,4533,1852,1303,All wheel drive (4x4) ,"7 gears, manual transmission ",,
911 (992),Carrera S 3.0 (450 Hp) PDK ,2018,Internal Combustion engine ,Coupe ,4,2,3.7,308,"3.4 kg/Hp, 297 Hp/tonne ","2.9 kg/Nm, 349.8 Nm/tonne ",450 Hp @ 6500 rpm. ,151,530 Nm @ 2300-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,64,4519,1852,1300,Rear wheel drive ,"8 gears, automatic transmission PDK ",8.9,
911 (992),Carrera 4S 3.0 (450 Hp) PDK ,2018,Internal Combustion engine ,Coupe ,4,2,3.6,306,"3.5 kg/Hp, 287.5 Hp/tonne ","3 kg/Nm, 338.7 Nm/tonne ",450 Hp @ 6500 rpm. ,151,530 Nm @ 2300-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,67,4519,1852,1300,All wheel drive (4x4) ,"8 gears, automatic transmission PDK ",9,
911 (992),Carrera T 3.0 (385 Hp) PDK ,2022,Internal Combustion engine ,Coupe ,4,2,4,291,"3.9 kg/Hp, 255.8 Hp/tonne ","3.3 kg/Nm, 299 Nm/tonne ",385 Hp @ 6500 rpm. ,129.2,450 Nm @ 1950-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,64,4530,1852,1291,Rear wheel drive ,"8 gears, automatic transmission PDK ",,
911 (992),Carrera T 3.0 (385 Hp) ,2022,Internal Combustion engine ,Coupe ,4,2,4.5,291,"3.8 kg/Hp, 261.9 Hp/tonne ","3.3 kg/Nm, 306.1 Nm/tonne ",385 Hp @ 6500 rpm. ,129.2,450 Nm @ 1950-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,64,4530,1852,1293,Rear wheel drive ,"7 gears, manual transmission ",,
911 (992),Carrera 4 3.0 (385 Hp) PDK ,2019,Internal Combustion engine ,Coupe ,4,2,4.2,291,"4 kg/Hp, 247.6 Hp/tonne ","3.5 kg/Nm, 289.4 Nm/tonne ",385 Hp @ 6500 rpm. ,129.2,450 Nm @ 1950-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,67,4519,1852,1298,All wheel drive (4x4) ,"8 gears, automatic transmission PDK ",9.2,
911 (992),Carrera 3.0 (385 Hp) PDK ,2019,Internal Combustion engine ,Coupe ,4,2,4,293,"3.9 kg/Hp, 255.8 Hp/tonne ","3.3 kg/Nm, 299 Nm/tonne ",385 Hp @ 6500 rpm. ,129.2,450 Nm @ 1950-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,64,4519,1852,1298,Rear wheel drive ,"8 gears, automatic transmission PDK ",9,
911 RSR (991),4.0 (510 Hp) Automatic ,2016,Internal Combustion engine ,Coupe ,2,2,,,"2.4 kg/Hp, 410.3 Hp/tonne ",,510 Hp ,,,"Rear, Longitudinal ",,6,Boxer ,,4557,2048,,Rear wheel drive ,"6 gears, automatic transmission ",,
911 Cabriolet (991 II),Turbo S 3.8 (580 Hp) PDK ,2015,Internal Combustion engine ,Cabriolet ,4,2,3,330,"2.9 kg/Hp, 347.3 Hp/tonne ","2.2 kg/Nm, 449.1 Nm/tonne ",580 Hp @ 6750 rpm. ,152.6,750 Nm @ 2250-4000 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,68,4507,1880,1294,All wheel drive (4x4) ,"7 gears, automatic transmission PDK ",9.3,2018
911 Cabriolet (991 II),Turbo 3.8 (540 Hp) PDK ,2015,Internal Combustion engine ,Cabriolet ,4,2,3.1,320,"3.1 kg/Hp, 324.3 Hp/tonne ","2.3 kg/Nm, 426.4 Nm/tonne ",540 Hp @ 6400 rpm. ,142.1,710 Nm @ 2250-4000 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,68,4507,1880,1294,All wheel drive (4x4) ,"7 gears, automatic transmission PDK ",9.3,2018
911 Cabriolet (991 II),Carrera GTS 3.0 (450 Hp) PDK ,2017,Internal Combustion engine ,Cabriolet ,4,2,3.8,308,"3.4 kg/Hp, 292.2 Hp/tonne ","2.8 kg/Nm, 357.1 Nm/tonne ",450 Hp @ 6500 rpm. ,151,550 Nm @ 2150−5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,64,4528,1852,1291,Rear wheel drive ,"7 gears, automatic transmission PDK ",8.4,2018
911 Cabriolet (991 II),Carrera GTS 3.0 (450 Hp) ,2017,Internal Combustion engine ,Cabriolet ,4,2,4.2,310,"3.4 kg/Hp, 296.1 Hp/tonne ","2.8 kg/Nm, 361.8 Nm/tonne ",450 Hp @ 6500 rpm. ,151,550 Nm @ 2150−5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,64,4528,1852,1291,Rear wheel drive ,"7 gears, manual transmission ",9.4,2018
911 Cabriolet (991 II),Carrera 4 GTS 3.0 (450 Hp) PDK ,2017,Internal Combustion engine ,Cabriolet ,4,2,3.7,306,"3.5 kg/Hp, 283.9 Hp/tonne ","2.9 kg/Nm, 347 Nm/tonne ",450 Hp @ 6500 rpm. ,151,550 Nm @ 2150-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,67,4528,1852,1293,All wheel drive (4x4) ,"7 gears, automatic transmission PDK ",8.7,2018
911 Cabriolet (991 II),Carrera 4 GTS 3.0 (450 Hp) ,2017,Internal Combustion engine ,Cabriolet ,4,2,4.1,308,"3.5 kg/Hp, 287.5 Hp/tonne ","2.8 kg/Nm, 351.4 Nm/tonne ",450 Hp @ 6500 rpm. ,151,550 Nm @ 2150-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,67,4528,1852,1293,All wheel drive (4x4) ,"7 gears, manual transmission ",9.7,2018
911 Cabriolet (991 II),Carrera S 3.0 (420 Hp) PDK ,2015,Internal Combustion engine ,Cabriolet ,4,2,4.3,304,"3.6 kg/Hp, 274.5 Hp/tonne ","3.1 kg/Nm, 326.8 Nm/tonne ",420 Hp @ 6500 rpm. ,140.9,500 Nm @ 1700-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,64,4499,1808,1291,Rear wheel drive ,"7 gears, automatic transmission PDK ",7.8,2018
911 Cabriolet (991 II),Carrera S 3.0 (420 Hp) ,2015,Internal Combustion engine ,Cabriolet ,4,2,4.5,306,"3.6 kg/Hp, 278.1 Hp/tonne ","3 kg/Nm, 331.1 Nm/tonne ",420 Hp @ 6500 rpm. ,140.9,500 Nm @ 1700-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,64,4499,1808,1291,Rear wheel drive ,"7 gears, manual transmission ",8.8,2018
911 Cabriolet (991 II),Carrera 3.0 (370 Hp) PDK ,2015,Internal Combustion engine ,Cabriolet ,4,2,4.6,290,"4.1 kg/Hp, 243.4 Hp/tonne ","3.4 kg/Nm, 296.1 Nm/tonne ",370 Hp @ 6500 rpm. ,124.1,450 Nm @ 1700-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,64,4499,1808,1297,Rear wheel drive ,"7 gears, automatic transmission PDK ",7.5,2018
911 Cabriolet (991 II),Carrera 3.0 (370 Hp) ,2015,Internal Combustion engine ,Cabriolet ,4,2,4.8,292,"4.1 kg/Hp, 246.7 Hp/tonne ","3.3 kg/Nm, 300 Nm/tonne ",370 Hp @ 6500 rpm. ,124.1,450 Nm @ 1700-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,64,4499,1808,1297,Rear wheel drive ,"7 gears, manual transmission ",8.5,2018
911 Targa (991 II),4S 3.0 (420 Hp) PDK ,2015,Internal Combustion engine ,Targa ,4,2,4.2,301,"3.8 kg/Hp, 262.5 Hp/tonne ","3.2 kg/Nm, 312.5 Nm/tonne ",420 Hp @ 6500 rpm. ,140.9,500 Nm @ 1700-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,67,4499,1852,1293,All wheel drive (4x4) ,"7 gears, automatic transmission PDK ",8,2018
911 Targa (991 II),4S 3.0 (420 Hp) ,2015,Internal Combustion engine ,Targa ,4,2,4.4,303,"3.8 kg/Hp, 265.8 Hp/tonne ","3.2 kg/Nm, 316.5 Nm/tonne ",420 Hp @ 6500 rpm. ,140.9,500 Nm @ 1700-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,68,4499,1852,1293,All wheel drive (4x4) ,"7 gears, manual transmission ",9,2018
911 Targa (991 II),4 GTS 3.0 (450 Hp) PDK ,2017,Internal Combustion engine ,Targa ,4,2,3.7,306,"3.6 kg/Hp, 280.4 Hp/tonne ","2.9 kg/Nm, 342.7 Nm/tonne ",450 Hp @ 6500 rpm. ,151,550 Nm @ 2150-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,67,4528,1852,1291,All wheel drive (4x4) ,"7 gears, automatic transmission PDK ",8.7,2020
911 Targa (991 II),4 GTS 3.0 (450 Hp) ,2017,Internal Combustion engine ,Targa ,4,2,4.1,308,"3.5 kg/Hp, 283.9 Hp/tonne ","2.9 kg/Nm, 347 Nm/tonne ",450 Hp @ 6500 rpm. ,151,550 Nm @ 2150-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,67,4528,1852,1291,All wheel drive (4x4) ,"7 gears, manual transmission ",9.7,2020
911 Targa (991 II),4 3.0 (370 Hp) PDK ,2015,Internal Combustion engine ,Targa ,4,2,4.5,287,"4.3 kg/Hp, 232.7 Hp/tonne ","3.5 kg/Nm, 283 Nm/tonne ",370 Hp @ 6500 rpm. ,124.1,450 Nm @ 1700-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,68,4499,1852,1288,All wheel drive (4x4) ,"7 gears, automatic transmission PDK ",7.9,2018
911 Targa (991 II),4 3.0 (370 Hp) ,2015,Internal Combustion engine ,Targa ,4,2,4.7,289,"4.2 kg/Hp, 235.7 Hp/tonne ","3.5 kg/Nm, 286.6 Nm/tonne ",370 Hp @ 6500 rpm. ,124.1,450 Nm @ 1700-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,68,4499,1852,1288,All wheel drive (4x4) ,"7 gears, manual transmission ",8.9,2018
911 (991 II),Turbo S Exclusive 3.8 (607 Hp) PDK ,2017,Internal Combustion engine ,Coupe ,4,2,2.9,330,"2.6 kg/Hp, 379.4 Hp/tonne ","2.1 kg/Nm, 468.8 Nm/tonne ",607 Hp @ 6750 rpm. ,159.7,750 Nm @ 2250-4000 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,68,4507,1880,1297,All wheel drive (4x4) ,"7 gears, automatic transmission PDK ",9.1,2017
911 (991 II),Turbo S 3.8 (580 Hp) PDK ,2015,Internal Combustion engine ,Coupe ,4,2,2.9,330,"2.8 kg/Hp, 362.5 Hp/tonne ","2.1 kg/Nm, 468.8 Nm/tonne ",580 Hp @ 6750 rpm. ,152.6,750 Nm @ 2250-4000 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,68,4507,1880,1297,All wheel drive (4x4) ,"7 gears, automatic transmission PDK ",9.1,2018
911 (991 II),Turbo 3.8 (540 Hp) PDK ,2015,Internal Combustion engine ,Coupe ,4,2,3,320,"3 kg/Hp, 338.6 Hp/tonne ","2.2 kg/Nm, 445.1 Nm/tonne ",540 Hp @ 6400 rpm. ,142.1,710 Nm @ 2250-4000 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,68,4507,1880,1297,All wheel drive (4x4) ,"7 gears, automatic transmission PDK ",9.1,2018
911 (991 II),GT3 RS 4.0 (520 Hp) PDK ,2018,Internal Combustion engine ,Coupe ,2,2,3.2,312,"2.8 kg/Hp, 363.6 Hp/tonne ","3 kg/Nm, 328.7 Nm/tonne ",520 Hp @ 8250 rpm. ,130.1,470 Nm @ 6000 rpm.,"Front, Longitudinal ",3996,6,Boxer ,64,4557,1880,1297,Rear wheel drive ,"7 gears, automatic transmission PDK ",12.8,2019
